GID,idx_crime
라라530887,26757.784
라라530889,56311.259
라라530890,23423.169
라라530891,17969.391
라라530893,5939.499
라라530894,6312.124
라라530895,971.352
라라530896,3768.096
라라530897,1326.595
라라531871,1461.018
라라531872,4246.203
라라531874,2267.017
라라531875,21384.314
라라531876,12722.65
라라531877,3362.354
라라531878,5381.493
라라531879,1326.969
라라531880,4637.257
라라531881,12576.564
라라531886,5093.314
라라531888,14596.672
라라531889,39806.293
라라531890,51140.364
라라531891,6451.928
라라531892,7790.906
라라531893,8402.143
라라531894,223.268
라라531895,5427.111
라라531896,6477.82
라라531939,128.878
라라532871,1342.443
라라532872,4531.856
라라532873,7635.055
라라532874,6009.788
라라532875,3490.861
라라532876,2871.51
라라532877,4725.766
라라532878,1691.751
라라532879,15626.683
라라532880,6970.814
라라532881,9840.117
라라532886,27772.168
라라532887,19575.395
라라532888,8275.307
라라532889,4764.157
라라532890,35819.444
라라532891,12774.392
라라532892,6067.688
라라532893,8277.221
라라532894,1624.013
라라532895,1772.302
라라532896,4312.66
라라532939,805.535
라라533864,99.976
라라533870,13.925
라라533873,4894.298
라라533874,5513.33
라라533875,1857.188
라라533876,693.187
라라533878,5997.074
라라533879,15074.272
라라533880,3718.799
라라533881,3192.07
라라533885,5485.178
라라533886,18295.338
라라533887,12231.873
라라533888,23019.957
라라533889,21543.893
라라533890,11622.01
라라533891,9166.061
라라533892,6203.267
라라533893,3365.799
라라533894,163.29
라라534868,93.146
라라534869,6341.281
라라534870,5677.504
라라534871,2796.603
라라534876,1069.752
라라534877,4465.341
라라534878,6746.6
라라534879,6064.615
라라534881,297.578
라라534882,4418.209
라라534885,1481.168
라라534886,12518.08
라라534887,12554.802
라라534888,16264.856
라라534889,31060.28
라라534890,15741.033
라라534891,18500.34
라라534892,4288.54
라라535868,6412.344
라라535869,4871.065
라라535870,3163.72
라라535875,10112.713
라라535876,3742.97
라라535877,4687.15
라라535878,25635.998
라라535879,13201.03
라라535880,756.643
라라535881,230.28
라라535882,5040.831
라라535885,7169.601
라라535886,23365.559
라라535887,34737.507
라라535888,17900.904
라라535889,11094.788
라라535890,7254.305
라라535891,26448.737
라라535892,1848.385
라라535938,2083.454
라라536867,20.156
라라536868,728.264
라라536872,1240.167
라라536873,3964.576
라라536874,4656.816
라라536875,7130.774
라라536876,6984.072
라라536877,5905.833
라라536878,11906.196
라라536879,3135.632
라라536880,56.154
라라536881,452.686
라라536882,4616.464
라라536886,17201.727
라라536887,11131.286
라라536888,5609.617
라라536889,14425.874
라라536890,4576.971
라라536891,1071.317
라라536938,1540.738
라라537841,4312.076
라라537872,3119.735
라라537875,5676.084
라라537876,12462.43
라라537877,8351.44
라라537878,5560.565
라라537879,3200.219
라라537880,70.47
라라537881,5784.971
라라537882,4672.353
라라537885,13847.361
라라537886,16359.487
라라537887,5850.474
라라537888,4880.536
라라537889,4180.654
라라537890,3341.061
라라537891,656.936
라라538863,3786.785
라라538866,5363.617
라라538867,6765.479
라라538868,263.039
라라538869,2072.398
라라538873,448.689
라라538876,7490.623
라라538877,8992.743
라라538878,1252.671
라라538879,2011.355
라라538881,4778.032
라라538884,1373.965
라라538885,6423.854
라라538886,9026.575
라라538887,7235.007
라라538888,4141.402
라라538889,562.111
라라538890,4998.191
라라538891,3095.216
라라538892,2910.634
라라538893,1687.455
라라539863,3685.742
라라539864,457.104
라라539865,4396.729
라라539866,20564.81
라라539867,12054.62
라라539868,9563.533
라라539869,7195.037
라라539870,11765.267
라라539871,8540.345
라라539876,6225.645
라라539877,3550.688
라라539878,4350.806
라라539879,2379.671
라라539885,6621.55
라라539886,336.195
라라539887,90.258
라라539888,8172.104
라라539889,1441.185
라라539890,173.046
라라539891,3325.809
라라539892,1013.804
라라540800,193.892
라라540801,3487.838
라라540802,1567.199
라라540865,118.364
라라540867,13441.129
라라540868,1733.81
라라540869,696.843
라라540870,7570.238
라라540871,16853.604
라라540872,16469.732
라라540876,5276.879
라라540877,12909.282
라라540878,11444.376
라라540879,6297.278
라라540888,301.396
라라540889,247.843
라라540890,6586.227
라라540891,3703.411
라라540892,2101.617
라라541863,3139.021
라라541864,4475.092
라라541865,189.895
라라541866,590.277
라라541869,1212.805
라라541871,31508.56
라라541872,7972.519
라라541876,3802.956
라라541877,12761.071
라라541878,15276.297
라라541890,2482.579
라라541892,3894.937
라라541893,73.663
라라542864,53.409
라라542870,2147.605
라라542871,10186.573
라라542872,6055.517
라라542873,3166.312
라라542874,759.006
라라542875,3245.872
라라542876,6851.676
라라542877,10464.75
라라542893,4158.424
라라543802,21.223
라라543809,9.067
라라543870,6938.34
라라543871,5551.209
라라543872,6388.19
라라543873,5294.406
라라543874,1101.668
라라543888,2798.366
라라543893,1586.926
라라544809,1971.409
라라544810,3949.597
라라544871,3353.992
라라545813,1025.287
라라545814,4597.317
라라545815,905.681
라라545816,1309.621
라라545819,506.961
라라545960,861.407
라라546812,1815.539
라라546813,7056.695
라라546814,482.83
라라546816,1831.526
라라546866,5173.058
라라546867,6814.098
라라546868,3495.196
라라546874,16.688
라라546875,1704.506
라라546876,3548.471
라라546916,283.691
라라546960,3176.237
라라547813,765.577
라라547815,684.191
라라547831,409.852
라라547866,3918.837
라라547867,2362.374
라라547868,5046.382
라라547869,3185.489
라라547871,1821.584
라라547872,4058.002
라라547874,1658.796
라라547875,7218.747
라라547876,1687.972
라라548810,3732.272
라라548838,582.2
라라548839,5061.552
라라548840,4500.339
라라548866,1360.645
라라548868,3634.501
라라548869,2129.851
라라548871,5752.048
라라548872,4807.757
라라548873,1706.658
라라548874,3937.957
라라548875,2323.457
라라549840,5679.675
라라549866,1377.157
라라549867,1452.371
라라549868,5066.306
라라549869,1953.608
라라549871,10317.265
라라549872,25763.651
라라549873,4075.555
라라549874,4995.582
라라549875,311.059
라라550840,63.156
라라550841,282.732
라라550847,5739.614
라라550856,739.582
라라550857,2225.542
라라550866,1616.128
라라550867,3107.304
라라550868,9258.628
라라550869,1943.807
라라550870,8051.465
라라550871,23473.558
라라550872,29223.188
라라550873,14244.968
라라550874,3593.769
라라550921,126.997
라라551840,2976.157
라라551841,6740.124
라라551847,8767.278
라라551848,13435.28
라라551849,7801.864
라라551850,7584.63
라라551851,4448.733
라라551852,1243.84
라라551856,6382.774
라라551868,2600.649
라라551869,4686.255
라라551870,2004.979
라라551871,780.414
라라551872,4263.81
라라551873,4653.051
라라551874,3175.571
라라551875,1594.646
라라551911,771.094
라라552843,38880.735
라라552844,30735.545
라라552846,4338.25
라라552847,6206.843
라라552848,8165.923
라라552849,5597.973
라라552850,16926.882
라라552851,11487.832
라라552852,13746.235
라라552853,3017.681
라라552854,7608.665
라라552855,3308.709
라라552856,3056.726
라라552868,1915.198
라라552869,2233.981
라라552871,2473.672
라라552872,15186.497
라라552873,7075.268
라라552874,2115.476
라라552875,14918.56
라라552876,3319.506
라라552877,2932.59
라라552878,553.322
라라552909,2792.044
라라552910,6629.299
라라552911,3029.676
라라552912,1588.98
라라553842,2324.089
라라553843,22163.397
라라553844,14874.06
라라553845,5372.938
라라553846,18070.947
라라553847,6722.846
라라553848,9981.398
라라553853,2697.408
라라553854,3960.573
라라553856,3486.559
라라553869,474.882
라라553870,3280.234
라라553871,4398.924
라라553872,11963.595
라라553874,1472.694
라라553875,7668.12
라라553876,11817.629
라라553877,1271.46
라라553878,7592.239
라라553879,3734.456
라라553909,2975.567
라라553910,1336.098
라라553911,366.086
라라554844,1446.771
라라554845,2120.295
라라554846,8038.202
라라554847,5935.45
라라554848,5241.622
라라554849,4853.969
라라554852,286.299
라라554855,5427.057
라라554856,2133.964
라라554857,544.846
라라554858,788.622
라라554862,2892.193
라라554869,3208.507
라라554870,6779.083
라라554871,5072.106
라라554872,6883.408
라라554874,703.294
라라554875,4334.505
라라554876,7407.152
라라554878,8572.352
라라554879,5423.207
라라554880,4787.569
라라554881,3327.763
라라554904,1856.132
라라554905,1709.486
라라554906,153.303
라라554908,139.977
라라554909,621.186
라라554911,1071.38
라라555848,1517.513
라라555853,260.412
라라555854,3112.66
라라555855,13321.298
라라555856,18389.766
라라555857,1497.757
라라555858,467.945
라라555862,3529.856
라라555868,49.799
라라555869,3945.905
라라555870,3805.971
라라555871,2638.603
라라555872,3765.714
라라555873,25087.115
라라555874,8587.829
라라555875,2920.897
라라555876,17435.43
라라555877,5440.504
라라555878,5752.697
라라555879,6884.188
라라555880,4201.5
라라555904,10532.789
라라555905,12833.455
라라555906,9597.689
라라555910,3122.139
라라555911,5985.516
라라556843,49.384
라라556854,2527.972
라라556855,19089.579
라라556856,26978.442
라라556863,1476.446
라라556869,143.589
라라556871,186.629
라라556872,5951.553
라라556873,20536.931
라라556874,12541.29
라라556875,9668.014
라라556876,12297.278
라라556877,5143.589
라라556878,5215.905
라라556879,1036.607
라라556891,1581.529
라라556892,3923.296
라라556904,3585.806
라라556905,9406.655
라라556906,10185.133
라라556908,6726.689
라라556911,8105.264
라라556912,8508.863
라라557843,4687.38
라라557844,74.277
라라557846,247.608
라라557847,1037.666
라라557855,8702.452
라라557856,7793.251
라라557857,524.58
라라557861,1021.561
라라557863,5395.667
라라557868,1655.935
라라557869,8389.499
라라557870,3992.069
라라557871,4394.062
라라557872,6477.991
라라557873,9206.417
라라557874,4019.119
라라557875,44713.96
라라557876,9686.492
라라557877,5523.927
라라557878,15571.858
라라557879,4364.206
라라557880,3859.328
라라557881,471.75
