집계군명,가구코드,가구수
38030700020103,ga_sd_005,7.0
38030700020104,ga_sd_005,44.0
38030700020105,ga_sd_005,33.0
38030700020106,ga_sd_005,46.0
38030700020107,ga_sd_005,16.0
38030700030001,ga_sd_005,9.0
38030700030101,ga_sd_005,12.0
38030700030102,ga_sd_005,9.0
38030700030103,ga_sd_005,13.0
38030700030104,ga_sd_005,7.0
38030700030105,ga_sd_005,8.0
38030700030106,ga_sd_005,27.0
38030700030107,ga_sd_005,9.0
38030700030108,ga_sd_005,12.0
38030700030109,ga_sd_005,21.0
38030700030110,ga_sd_005,43.0
38030700030111,ga_sd_005,8.0
38030700040001,ga_sd_005,62.0
38030700040002,ga_sd_005,104.0
38030700040003,ga_sd_005,130.0
38030700040004,ga_sd_005,69.0
38030700040005,ga_sd_005,113.0
38030700040101,ga_sd_005,47.0
38030700040201,ga_sd_005,20.0
38030700040202,ga_sd_005,55.0
38030700040401,ga_sd_005,305.0
38030700040501,ga_sd_005,66.0
38030700040601,ga_sd_005,47.0
38030700040901,ga_sd_005,41.0
38030700050001,ga_sd_005,44.0
38030700050002,ga_sd_005,34.0
38030700060001,ga_sd_005,30.0
38030700060101,ga_sd_005,54.0
38030700060102,ga_sd_005,32.0
38030700060103,ga_sd_005,56.0
38030710010001,ga_sd_005,195.0
38030710010003,ga_sd_005,125.0
38030710010004,ga_sd_005,278.0
38030710010005,ga_sd_005,255.0
38030710010006,ga_sd_005,292.0
38030710010007,ga_sd_005,154.0
38030710010008,ga_sd_005,529.0
38030710010101,ga_sd_005,16.0
38030710010201,ga_sd_005,30.0
38030710010202,ga_sd_005,116.0
38030710010301,ga_sd_005,23.0
38030710010302,ga_sd_005,39.0
38030710020001,ga_sd_005,346.0
38030710020002,ga_sd_005,196.0
38030710020003,ga_sd_005,196.0
38030710020004,ga_sd_005,220.0
38030710020005,ga_sd_005,290.0
38030710020101,ga_sd_005,200.0
38030710020102,ga_sd_005,179.0
38030710020103,ga_sd_005,137.0
38030710020104,ga_sd_005,229.0
38030710020105,ga_sd_005,142.0
38030710020106,ga_sd_005,185.0
38030710020301,ga_sd_005,25.0
38030710020302,ga_sd_005,19.0
38030710020501,ga_sd_005,12.0
38030710020502,ga_sd_005,41.0
38030710020503,ga_sd_005,24.0
38030710020601,ga_sd_005,42.0
38030710030001,ga_sd_005,354.0
38030710030002,ga_sd_005,342.0
38030710030003,ga_sd_005,265.0
38030710030004,ga_sd_005,401.0
38030710030005,ga_sd_005,415.0
38030710030006,ga_sd_005,293.0
38030710030101,ga_sd_005,70.0
38030710030102,ga_sd_005,76.0
38030710030103,ga_sd_005,120.0
38030710030201,ga_sd_005,18.0
38030710030202,ga_sd_005,41.0
38030710030203,ga_sd_005,10.0
38030710030204,ga_sd_005,19.0
38030710030205,ga_sd_005,59.0
38030710030206,ga_sd_005,15.0
38030710030207,ga_sd_005,11.0
38030710030301,ga_sd_005,24.0
38030710030302,ga_sd_005,22.0
38030710030303,ga_sd_005,44.0
38030710030304,ga_sd_005,36.0
38030710030305,ga_sd_005,23.0
38030710030401,ga_sd_005,41.0
38030710030501,ga_sd_005,173.0
