gid,no,instl_pupr,administ,instl_dtl,lo,la,tot_camera,pixel,instl_de,geometry
102806,21688,차량방범,경상남도 진주시청,,127.993602,35.278305,2,200,2022-11-21,POINT (127.993602 35.278305)
102807,21689,차량방범,경상남도 진주시청,,128.086263,35.333972,2,200,2022-11-21,POINT (128.086263 35.333972)
102808,21690,생활방범,경상남도 진주시청,경상남도 진주시 돗골로161번길 14 (상대동),128.110654,35.182609,4,200,2022-11-21,POINT (128.110654 35.182609)
102809,21691,생활방범,경상남도 진주시청,경상남도 진주시 돗골로170번길 13 (상대동),128.113293,35.183587,4,200,2022-11-21,POINT (128.113293 35.183587)
102810,21692,생활방범,경상남도 진주시청,,128.114404,35.184925,4,200,2022-11-21,POINT (128.114404 35.184925)
102811,21693,생활방범,경상남도 진주시청,경상남도 진주시 진주대로1164번길 17 (상봉동),128.075645,35.196857,3,200,2022-11-21,POINT (128.075645 35.196857)
102812,21694,교통정보수집,경상남도 진주시청,,128.096528,35.175672,4,200,2022-11-21,POINT (128.096528 35.175672)
102813,21695,교통정보수집,경상남도 진주시청,,128.096153,35.174244,4,200,2022-11-21,POINT (128.096153 35.174244)
102814,21696,교통정보수집,경상남도 진주시청,,128.094827,35.195698,1,200,2022-11-21,POINT (128.094827 35.195698)
102815,21697,교통정보수집,경상남도 진주시청,,128.086796,35.199158,1,200,2022-11-21,POINT (128.086796 35.199158)
102816,21698,교통정보수집,경상남도 진주시청,,128.098592,35.198006,2,200,2022-11-21,POINT (128.098592 35.198006)
102817,21699,교통정보수집,경상남도 진주시청,,128.093051,35.194043,4,200,2022-11-21,POINT (128.093051 35.194043)
102818,21700,교통정보수집,경상남도 진주시청,,128.100752,35.143012,8,200,2022-11-21,POINT (128.100752 35.143012)
102819,21701,교통정보수집,경상남도 진주시청,,128.099847,35.141074,6,200,2022-11-21,POINT (128.099847 35.141074)
102820,21702,교통정보수집,경상남도 진주시청,,128.061643,35.194069,4,200,2022-11-21,POINT (128.061643 35.194069)
102821,21703,교통정보수집,경상남도 진주시청,,128.056881,35.187461,2,200,2022-11-21,POINT (128.056881 35.187461)
102822,21704,교통정보수집,경상남도 진주시청,,128.056536,35.195741,2,200,2022-11-21,POINT (128.056536 35.195741)
102823,21705,교통정보수집,경상남도 진주시청,경상남도 진주시 진주대로 1322 (유곡동),128.059371,35.194781,5,200,2022-11-21,POINT (128.059371 35.194781)
102824,21706,교통단속,경상남도 진주시청,경상남도 진주시 장대로 32 (장대동),128.088109,35.194256,1,200,2022-11-21,POINT (128.088109 35.194256)
102825,21707,교통단속,경상남도 진주시청,경상남도 진주시 진주대로 1078 (대안동),128.08372,35.195581,3,200,2022-11-21,POINT (128.08372 35.195581)
102826,21708,교통단속,경상남도 진주시청,,128.09621,35.174377,1,200,2022-11-21,POINT (128.09621 35.174377)
102827,21709,교통단속,경상남도 진주시청,,128.093146,35.174587,1,200,2022-11-21,POINT (128.093146 35.174587)
102828,21710,교통단속,경상남도 진주시청,경상남도 진주시 동진로 32 (칠암동),128.093951,35.178925,2,200,2022-11-21,POINT (128.093951 35.178925)
102829,21711,생활방범,경상남도 진주시청,,128.172829,35.170895,1,200,2022-11-21,POINT (128.172829 35.170895)
102830,21712,생활방범,경상남도 진주시청,경상남도 진주시 호탄길27번길 10 (호탄동),128.115316,35.163839,4,200,2022-11-21,POINT (128.115316 35.163839)
102831,21713,생활방범,경상남도 진주시청,경상남도 진주시 신안로163번길 10 (이현동),128.065766,35.191487,1,200,2022-11-21,POINT (128.065766 35.191487)
102832,21714,생활방범,경상남도 진주시청,,128.109716,35.207853,1,200,2022-11-21,POINT (128.109716 35.207853)
102833,21715,생활방범,경상남도 진주시청,경상남도 진주시 남강로1117번길 19 (상평동),128.114201,35.169543,3,200,2022-11-21,POINT (128.114201 35.169543)
102834,21716,생활방범,경상남도 진주시청,경상남도 진주시 모덕로282번길 8 (하대동),128.124747,35.188388,1,200,2022-11-21,POINT (128.124747 35.188388)
102835,21717,생활방범,경상남도 진주시청,경상남도 진주시 북장대로85번길 14 (상봉동),128.07122,35.197469,1,200,2022-11-21,POINT (128.07122 35.197469)
102836,21718,생활방범,경상남도 진주시청,경상남도 진주시 촉석로 233-1 (수정동),128.087346,35.197092,1,200,2022-11-21,POINT (128.087346 35.197092)
102837,21719,생활방범,경상남도 진주시청,경상남도 진주시 동진로20번길 9 (칠암동),128.093494,35.17819,1,200,2022-11-21,POINT (128.093494 35.17819)
102838,21720,생활방범,경상남도 진주시청,,128.086591,35.183529,1,200,2022-11-21,POINT (128.086591 35.183529)
102839,21721,어린이보호,경상남도 진주시청,경상남도 진주시 수곡면 곤수로 1000,127.9316202,35.2011831,1,200,2022-11-21,POINT (127.9316202 35.2011831)
102840,21722,어린이보호,경상남도 진주시청,경상남도 진주시 수곡면 곤수로 1000,127.931337,35.19963,1,200,2022-11-21,POINT (127.931337 35.19963)
102841,21723,어린이보호,경상남도 진주시청,경상남도 진주시 명석면 광제산로 23,128.040735,35.218276,2,200,2022-11-21,POINT (128.040735 35.218276)
102842,21724,어린이보호,경상남도 진주시청,,128.041154,35.252552,1,200,2022-11-21,POINT (128.041154 35.252552)
102843,21725,어린이보호,경상남도 진주시청,,128.0402792,35.2545822,1,200,2022-11-21,POINT (128.0402792 35.2545822)
102844,21726,어린이보호,경상남도 진주시청,경상남도 진주시 미천면 안간길 18-8,128.088044,35.317728,1,200,2022-11-21,POINT (128.088044 35.317728)
102845,21727,어린이보호,경상남도 진주시청,경상남도 진주시 미천면 안간길 18-8,128.089817,35.318344,1,200,2022-11-21,POINT (128.089817 35.318344)
102846,21728,어린이보호,경상남도 진주시청,경상남도 진주시 집현면 지내길 271,128.092486,35.239675,2,200,2022-11-21,POINT (128.092486 35.239675)
102847,21729,어린이보호,경상남도 진주시청,경상남도 진주시 집현면 지내길 271,128.093399,35.241319,1,200,2022-11-21,POINT (128.093399 35.241319)
102848,21730,생활방범,경상남도 진주시청,,128.064815,35.182398,2,200,2022-11-21,POINT (128.064815 35.182398)
102849,21731,생활방범,경상남도 진주시청,,128.06678,35.173699,3,200,2022-11-21,POINT (128.06678 35.173699)
